df_index;MinerName;AverageFitness;PercentageOfFittingTraces;LogFitness;Precision;Generalization;Simplicity;AverageScore;AverageScoreIgnoringSimplicity
0;AlphaMiner;0.745580449233803;8.140361969493402;0.6983545106375972;0.5578809827598196;0.9571670579999062;1.0;0.8151571224983822;0.753542829997843
1;AlphaPlusMiner;0.04317610566326241;0.0;0.06592351985826073;0.0;0.9571670579999062;1.0;0.5000857909157922;0.3334477212210562
2;Inductive miner w threshold 0.0;1.0;100.0;1.0;0.7632931823795328;0.9317531815163758;0.5;0.7987615909739771;0.8983487879653028
3;Inductive miner w threshold 0.01;1.0;100.0;1.0;0.7632931823795328;0.9317531815163758;0.5;0.7987615909739771;0.8983487879653028
4;Inductive miner w threshold 0.05;1.0;100.0;1.0;0.7632931823795328;0.9317531815163758;0.5;0.7987615909739771;0.8983487879653028
5;Inductive miner w threshold 0.1;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
6;Inductive miner w threshold 0.15;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
7;Inductive miner w threshold 0.2;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
8;Inductive miner w threshold 0.25;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
9;Inductive miner w threshold 0.3;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
10;Inductive miner w threshold 0.4;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
11;Inductive miner w threshold 0.5;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
12;Inductive miner w threshold 0.6;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
13;Inductive miner w threshold 0.7;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
14;Inductive miner w threshold 0.8;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
15;Inductive miner w threshold 0.9;0.9788641241438995;91.09302141784558;0.9915434985968195;0.7603589321944669;0.9277867297322522;0.49253731343283585;0.7898867748758636;0.8890032620235395
16;Heuristics miner w threshold 1.0;0.745580449233803;8.140361969493402;0.6983545106375972;0.5578809827598196;0.9571670579999062;1.0;0.8151571224983822;0.753542829997843
17;Heuristics miner w threshold 0.99;0.8527054049809819;29.28949656208014;0.8658224888802419;0.8641895463017052;0.916634693263899;0.5824175824175825;0.8039868067410422;0.8778432148488621
18;Heuristics miner w threshold 0.97;0.8444034562600657;23.662372559867226;0.8568672398154695;0.8713451055912785;0.8114987852131577;0.49282296650717705;0.7550175783929197;0.8424157823548339
19;Heuristics miner w threshold 0.95;0.8733599906993503;24.563344661345134;0.8804712358276728;0.965311131131753;0.7770619844502129;0.4657534246575343;0.7703716327347127;0.8719110354271055
20;Heuristics miner w threshold 0.92;0.8773486120194021;25.156089464949023;0.8847444674142326;0.9549672657216942;0.7654994776863986;0.44999999999999996;0.7619538388568737;0.865938451809165
21;Heuristics miner w threshold 0.9;0.8819065456986537;25.891093021417845;0.8925340143005855;0.9529761384494362;0.7662350299192551;0.4424552429667519;0.7608932392585243;0.8670392380224483
22;Heuristics miner w threshold 0.85;0.8543154423219168;9.89488658816091;0.8519529734188427;0.9534719206578228;0.7996557829045432;0.4475703324808184;0.7637533695912753;0.869147715294761
23;Heuristics miner w threshold 0.8;0.8530451867519787;9.38117442503754;0.8491236951571739;0.9705508657792679;0.7967317162464124;0.4433497536945813;0.7659193806180601;0.8734425895925529
24;Heuristics miner w threshold 0.75;0.8512902713438294;9.302141784557023;0.8455255922954703;0.9710681603239514;0.7683390603044445;0.4426229508196722;0.7583301106979744;0.8635658306574084
25;Heuristics miner w threshold 0.6;0.8557347333877179;9.151979767644036;0.8481627905720225;0.9707132104952269;0.7179189287849057;0.420479302832244;0.7412115438750236;0.8481222908892835
26;Heuristics miner w threshold 0.5;0.8272968207819555;9.096656919307675;0.8126605140287538;0.9776352539567601;0.7050112584254435;0.40928270042194087;0.729806508396525;0.8366477777213864
27;Heuristics miner w threshold 0.4;0.8276627199986515;9.088753655259623;0.8146534617652823;0.9755592574964302;0.6930601469259716;0.405189620758483;0.725367936294884;0.8320940414736845
28;Heuristics miner w threshold 0.3;0.8202880798280023;20.311388603493242;0.8064637909737171;0.97794548175135;0.6904542838258845;0.39463601532567044;0.7208309651827268;0.8295626151350789
29;Heuristics miner w threshold 0.2;0.778349801553038;8.614557812376512;0.7567318358984488;0.9774089222866926;0.7011629764527055;0.3911368015414258;0.7120146254584655;0.8189739000974787
30;Heuristics miner w threshold 0.1;0.7180110354041823;8.171975025685608;0.6912781351763755;1.0;0.6615474328941496;0.36862003780718333;0.6870446265263788;0.793186156099444
