df_index;MinerName;AverageFitness;PercentageOfFittingTraces;LogFitness;Precision;Generalization;Simplicity
0;AlphaMiner;0.8371112571178285;28.38370565045992;0.7947025765953881;0.5912948061448426;0.7909082913156279;1.0
1;AlphaPlusMiner;0.42484512859020246;1.7082785808147174;0.4413183874948581;0.5479868913857677;0.8075215629701252;1.0
2;InductiveMiner;1.0;100.0;1.0;0.7455181217738802;0.7723306244728594;0.6216216216216216
3;Heuristics0.99Miner;0.8787801663951474;27.726675427069644;0.8977594709475074;0.9638118214716526;0.6001622015602132;0.605263157894737
4;Heuristics0.95Miner;0.8918469251583582;34.55978975032851;0.9115097483679053;0.9659151905528717;0.6099253088539949;0.605263157894737
5;Heuristics0.90Miner;0.8919767413197114;27.989487516425754;0.9118833240332869;0.9634556351410613;0.6252133635550587;0.5813953488372092
6;Heuristics0.85Miner;0.8891898053034712;25.88699080157687;0.9066761148138528;0.9908793667182929;0.6436352887698737;0.6000000000000001
7;Heuristics0.75Miner;0.8862820527406593;24.57293035479632;0.9051233704184014;0.8597235527576297;0.6054609439817873;0.5909090909090908
8;Heuristics0.60Miner;0.8644466608001443;24.441524310118265;0.891307570477713;0.8600383456587236;0.6151506866296649;0.5802469135802469
9;Heuristics0.50Miner;0.8649634129923237;24.57293035479632;0.8919813568010487;0.9933065595716198;0.5857456149656796;0.5257731958762887
10;Heuristics1.00Miner;0.9867498904949632;92.64126149802891;0.9801182859770619;0.523213727154922;0.7909082913156279;1.0
